Student ID,Name,Gender,Age,Department,Semester,Attendance (%),Internal Marks,Midterm Marks,Final Exam Marks,Total Marks,GPA,Result,Backlogs,Scholarship,Hostel Resident,Extra Curricular Score,Parental Income (USD),Internet Access,Study Hours per Day
STD03368,Student_3368,Female,21,ME,4,82.69,24,24,35,83,2.5,Fail,2,No,No,40.81,3596.21,Yes,2.28
STD03369,Student_3369,Male,21,Textile,2,79.73,20,35,58,113,3.3,Fail,2,No,No,74.61,4027.79,Yes,2.74
STD03370,Student_3370,Male,19,BBA,3,73.34,28,35,67,130,3.7,Fail,2,No,No,61.33,1501.98,Yes,0.5
STD03371,Student_3371,Female,17,CE,5,86.35,18,34,33,85,2.5,Fail,1,No,No,64.14,8119.38,Yes,1.84
STD03372,Student_3372,Male,22,CSE,4,93.74,15,35,67,117,3.3,Fail,2,No,No,46.53,3467.67,Yes,3.15
STD03373,Student_3373,Female,18,BBA,1,77.18,16,25,36,77,2.5,Fail,1,No,No,81.64,3208.85,Yes,1.95
STD03374,Student_3374,Male,20,CE,7,77.64,17,48,44,109,3.3,Fail,2,No,No,53.57,1000.0,Yes,1.52
STD03375,Student_3375,Female,17,CSE,8,93.06,21,27,50,98,3.0,Fail,2,No,Yes,38.51,5728.73,Yes,6.11
STD03376,Student_3376,Male,17,CE,4,85.49,28,36,45,109,3.3,Pass,0,Yes,No,65.74,6946.86,Yes,0.89
STD03377,Student_3377,Female,23,CE,4,81.51,23,27,35,85,2.5,Pass,0,Yes,No,33.8,5596.7,Yes,4.29
STD03378,Student_3378,Female,22,CSE,7,85.99,29,26,42,97,3.0,Fail,2,No,Yes,63.78,4129.72,No,3.37
STD03379,Student_3379,Female,20,CE,4,100.0,29,21,37,87,2.5,Pass,0,No,Yes,73.73,5382.84,Yes,1.81
STD03380,Student_3380,Female,18,CE,8,96.5,16,32,62,110,3.3,Pass,0,No,No,23.91,6067.74,Yes,2.51
STD03381,Student_3381,Male,17,CE,5,100.0,11,42,32,85,2.5,Pass,0,Yes,No,79.61,5080.69,Yes,1.32
STD03382,Student_3382,Female,21,ME,7,92.36,20,23,52,95,3.0,Pass,0,No,No,20.12,3441.74,Yes,5.21
STD03383,Student_3383,Male,24,EEE,2,77.37,20,45,37,102,3.0,Fail,2,No,No,76.22,5947.42,Yes,6.0
STD03384,Student_3384,Male,21,CE,7,80.58,17,45,49,111,3.3,Pass,0,No,No,63.38,5227.63,No,3.26
STD03385,Student_3385,Male,20,CSE,3,77.44,15,30,59,104,3.0,Pass,0,No,No,74.26,3211.55,Yes,5.32
STD03386,Student_3386,Female,24,Textile,8,91.23,20,41,40,101,3.0,Pass,0,Yes,Yes,38.77,8005.97,Yes,3.1
STD03387,Student_3387,Male,18,CE,5,81.96,20,44,49,113,3.3,Fail,1,No,No,24.97,4033.97,Yes,4.64
STD03388,Student_3388,Male,20,ME,5,76.66,14,23,31,68,2.0,Fail,0,No,No,72.8,3145.75,Yes,3.77
STD03389,Student_3389,Male,17,ME,7,83.86,19,29,63,111,3.3,Fail,1,No,Yes,29.5,1630.75,Yes,0.63
STD03390,Student_3390,Female,23,Textile,6,71.01,10,35,46,91,3.0,Fail,2,No,No,66.12,7770.07,Yes,4.92
STD03391,Student_3391,Female,23,CE,3,95.09,16,21,44,81,2.5,Pass,0,No,No,85.55,8442.47,Yes,4.69
STD03392,Student_3392,Male,21,BBA,6,75.34,13,28,30,71,2.0,Fail,0,No,Yes,57.28,4939.23,Yes,2.26
STD03393,Student_3393,Female,23,Textile,6,94.12,22,47,34,103,3.0,Fail,1,Yes,No,58.93,6137.72,Yes,2.31
STD03394,Student_3394,Female,19,EEE,7,89.66,29,20,63,112,3.3,Fail,2,No,No,48.02,5835.38,Yes,2.96
STD03395,Student_3395,Male,20,CSE,8,90.76,24,25,34,83,2.5,Fail,1,No,Yes,81.47,2270.53,Yes,2.33
STD03396,Student_3396,Male,23,CSE,4,73.54,25,42,69,136,4.0,Fail,1,No,No,56.45,6641.89,Yes,3.59
STD03397,Student_3397,Female,19,CSE,6,85.66,12,27,37,76,2.5,Pass,0,No,No,69.55,5730.09,Yes,4.75
STD03398,Student_3398,Male,19,CSE,1,79.81,12,23,33,68,2.0,Fail,0,No,Yes,23.02,4276.22,No,3.74
STD03399,Student_3399,Female,22,ME,4,67.48,17,20,41,78,2.5,Pass,0,Yes,No,49.55,2488.16,Yes,0.5
STD03400,Student_3400,Female,21,EEE,4,99.36,25,36,65,126,3.7,Pass,0,Yes,Yes,54.32,8216.89,Yes,5.12
STD03401,Student_3401,Female,20,CE,6,84.05,11,34,59,104,3.0,Fail,1,No,Yes,47.27,3631.66,Yes,2.5
STD03402,Student_3402,Female,19,CE,6,80.49,16,20,48,84,2.5,Fail,2,No,Yes,53.08,3730.62,Yes,2.76
STD03403,Student_3403,Female,17,BBA,2,98.74,10,38,51,99,3.0,Fail,2,No,No,58.68,1000.0,Yes,2.09
STD03404,Student_3404,Female,23,CE,8,94.67,18,44,57,119,3.3,Fail,2,No,No,60.21,5997.12,Yes,2.41
STD03405,Student_3405,Male,22,EEE,4,100.0,18,33,59,110,3.3,Pass,0,No,Yes,39.3,5719.72,Yes,1.1
STD03406,Student_3406,Male,18,CE,1,75.48,27,41,35,103,3.0,Pass,0,Yes,No,77.77,4851.64,Yes,3.91
STD03407,Student_3407,Female,23,ME,5,79.3,21,42,49,112,3.3,Fail,1,No,No,48.74,3694.51,Yes,3.2
STD03408,Student_3408,Female,23,Textile,7,100.0,21,49,44,114,3.3,Fail,2,No,Yes,100.0,5396.41,Yes,1.34
STD03409,Student_3409,Female,23,CE,6,76.44,14,26,37,77,2.5,Pass,0,No,No,98.34,6174.54,No,4.88
STD03410,Student_3410,Male,22,CSE,4,77.69,20,21,66,107,3.3,Pass,0,No,Yes,62.73,3482.15,Yes,0.8
STD03411,Student_3411,Female,18,CSE,5,84.19,13,30,57,100,3.0,Fail,2,No,Yes,55.41,2767.95,Yes,2.0
STD03412,Student_3412,Male,21,Textile,6,100.0,25,35,40,100,3.0,Fail,1,No,Yes,66.28,3923.8,Yes,3.3
STD03413,Student_3413,Female,20,CSE,2,79.7,21,34,35,90,3.0,Fail,2,No,No,53.54,5282.71,Yes,2.17
STD03414,Student_3414,Female,20,CSE,7,100.0,11,25,56,92,3.0,Pass,0,No,No,57.29,4448.85,Yes,2.35
STD03415,Student_3415,Male,18,ME,6,84.87,14,28,40,82,2.5,Pass,0,No,No,79.35,1000.0,Yes,1.95
STD03416,Student_3416,Male,24,ME,1,98.41,17,23,48,88,2.5,Pass,0,No,No,39.87,2059.05,Yes,3.62
STD03417,Student_3417,Female,23,ME,3,81.59,25,32,41,98,3.0,Pass,0,No,Yes,52.46,4843.08,No,2.16
STD03418,Student_3418,Female,17,CE,8,75.25,27,43,46,116,3.3,Fail,1,No,No,66.77,5479.31,Yes,3.87
STD03419,Student_3419,Female,18,Textile,3,90.73,12,27,37,76,2.5,Pass,0,No,No,45.58,3179.67,No,0.5
STD03420,Student_3420,Male,18,CSE,6,70.47,15,22,60,97,3.0,Fail,1,Yes,No,61.65,1878.33,Yes,3.21
STD03421,Student_3421,Male,20,BBA,2,68.58,13,42,48,103,3.0,Fail,2,Yes,No,49.08,3964.66,Yes,2.87
STD03422,Student_3422,Male,19,Textile,1,92.07,20,43,49,112,3.3,Pass,0,No,Yes,74.89,3260.62,No,3.65
STD03423,Student_3423,Male,17,BBA,6,79.27,11,41,31,83,2.5,Pass,0,No,No,52.68,6642.05,Yes,1.95
STD03424,Student_3424,Male,20,CSE,8,71.22,22,23,35,80,2.5,Pass,0,No,No,74.15,6273.65,Yes,2.78
STD03425,Student_3425,Male,22,EEE,5,79.0,22,49,56,127,3.7,Fail,2,No,No,42.56,9362.4,Yes,4.99
STD03426,Student_3426,Female,18,Textile,2,90.62,27,27,47,101,3.0,Fail,2,No,Yes,44.01,2310.82,Yes,2.25
STD03427,Student_3427,Female,24,CE,4,75.59,22,49,49,120,3.7,Fail,1,No,No,90.72,2899.53,Yes,5.07
STD03428,Student_3428,Male,19,BBA,5,57.1,21,46,38,105,3.3,Fail,1,Yes,No,28.26,5419.37,Yes,5.43
STD03429,Student_3429,Female,17,Textile,6,83.4,18,39,32,89,2.5,Pass,0,No,Yes,48.57,4309.48,Yes,5.33
STD03430,Student_3430,Female,21,Textile,4,88.59,10,25,69,104,3.0,Fail,2,No,Yes,55.86,4745.31,Yes,2.73
STD03431,Student_3431,Male,17,ME,4,93.12,14,21,67,102,3.0,Pass,0,No,No,20.88,4273.9,No,3.1
STD03432,Student_3432,Female,17,EEE,7,95.22,13,47,47,107,3.3,Fail,1,No,No,54.2,4142.48,Yes,2.0
STD03433,Student_3433,Male,23,ME,5,83.41,13,21,41,75,2.5,Pass,0,No,No,18.66,4419.84,Yes,1.63
STD03434,Student_3434,Male,18,EEE,7,100.0,23,23,48,94,3.0,Pass,0,Yes,Yes,63.06,4233.16,Yes,4.08
STD03435,Student_3435,Female,18,EEE,4,83.77,20,41,55,116,3.3,Fail,1,No,No,61.56,2424.15,Yes,3.43
STD03436,Student_3436,Male,21,CE,7,82.73,23,38,62,123,3.7,Fail,1,Yes,No,13.03,2686.9,Yes,3.77
STD03437,Student_3437,Male,21,Textile,3,82.1,21,32,62,115,3.3,Pass,0,Yes,No,54.11,3533.84,Yes,0.75
STD03438,Student_3438,Male,21,ME,7,86.43,25,22,35,82,2.5,Pass,0,No,No,53.77,2689.88,Yes,1.35
STD03439,Student_3439,Male,20,ME,5,90.09,24,25,38,87,2.5,Fail,2,Yes,No,51.02,6265.45,Yes,2.82
STD03440,Student_3440,Male,20,BBA,2,98.96,19,29,39,87,2.5,Fail,2,No,No,41.37,1000.0,Yes,3.03
STD03441,Student_3441,Male,18,Textile,3,79.59,13,47,56,116,3.3,Pass,0,No,No,69.99,10102.26,Yes,0.91
STD03442,Student_3442,Male,18,CSE,2,76.97,10,34,46,90,3.0,Fail,2,No,No,36.05,3564.56,Yes,2.01
STD03443,Student_3443,Male,21,CSE,1,86.41,28,43,49,120,3.7,Fail,2,No,No,71.87,6178.27,Yes,5.58
STD03444,Student_3444,Female,20,BBA,2,80.62,17,25,42,84,2.5,Fail,1,Yes,No,81.03,6390.23,Yes,3.23
STD03445,Student_3445,Female,19,EEE,5,73.79,19,47,60,126,3.7,Fail,1,No,No,48.71,1389.66,Yes,3.53
STD03446,Student_3446,Female,20,BBA,2,97.04,16,27,46,89,2.5,Pass,0,Yes,Yes,44.68,6330.29,No,4.59
STD03447,Student_3447,Male,18,BBA,1,96.72,11,23,40,74,2.0,Fail,1,No,Yes,61.21,8623.87,Yes,2.61
STD03448,Student_3448,Male,20,ME,4,70.31,11,24,56,91,3.0,Fail,1,Yes,Yes,81.29,9815.88,No,2.74
STD03449,Student_3449,Female,18,BBA,5,83.64,28,49,42,119,3.3,Fail,1,No,Yes,25.4,2589.72,Yes,0.5
STD03450,Student_3450,Female,21,EEE,6,90.77,21,38,69,128,3.7,Pass,0,Yes,No,52.56,5664.48,Yes,3.72
STD03451,Student_3451,Female,23,CSE,3,100.0,28,35,65,128,3.7,Fail,1,No,No,57.13,6587.22,Yes,2.62
STD03452,Student_3452,Male,21,CE,8,84.38,21,42,44,107,3.3,Fail,1,No,Yes,69.87,4277.21,Yes,4.65
STD03453,Student_3453,Female,21,Textile,3,93.63,22,30,51,103,3.0,Fail,1,No,No,59.06,3940.26,Yes,3.81
STD03454,Student_3454,Female,19,BBA,2,81.31,25,26,54,105,3.3,Fail,2,No,No,66.66,6063.67,Yes,1.18
STD03455,Student_3455,Male,23,Textile,3,89.54,17,41,48,106,3.3,Fail,1,No,No,63.02,5787.85,Yes,4.48
STD03456,Student_3456,Female,19,BBA,7,94.02,19,23,58,100,3.0,Fail,2,Yes,No,57.79,7536.33,Yes,4.91
STD03457,Student_3457,Male,18,Textile,1,88.49,15,26,52,93,3.0,Fail,1,Yes,No,70.71,1000.0,No,3.39
STD03458,Student_3458,Male,17,ME,6,85.27,24,47,48,119,3.3,Pass,0,Yes,No,59.74,4299.67,Yes,0.75
STD03459,Student_3459,Male,22,ME,7,94.68,26,31,32,89,2.5,Fail,2,No,No,63.84,2740.11,Yes,2.31
STD03460,Student_3460,Female,19,Textile,3,98.67,20,22,48,90,3.0,Pass,0,Yes,No,59.64,5967.84,Yes,2.44
STD03461,Student_3461,Female,18,BBA,7,86.51,28,32,42,102,3.0,Pass,0,No,No,51.33,5276.66,Yes,5.0
STD03462,Student_3462,Male,23,BBA,2,95.33,19,25,62,106,3.3,Fail,2,Yes,Yes,77.85,6410.98,Yes,3.75
STD03463,Student_3463,Female,20,EEE,8,79.39,27,31,53,111,3.3,Fail,1,Yes,Yes,85.52,3760.51,Yes,3.2
STD03464,Student_3464,Female,23,CSE,3,81.02,18,23,67,108,3.3,Pass,0,No,Yes,55.61,4505.32,Yes,3.37
STD03465,Student_3465,Female,21,CSE,7,100.0,18,40,64,122,3.7,Pass,0,No,Yes,37.38,5417.34,Yes,2.73
STD03466,Student_3466,Female,21,CE,8,55.98,27,41,62,130,3.7,Pass,0,No,Yes,78.47,5512.51,Yes,2.35
STD03467,Student_3467,Male,21,CSE,4,82.62,15,42,31,88,2.5,Pass,0,Yes,Yes,41.97,2737.32,Yes,1.93
STD03468,Student_3468,Female,18,CE,4,87.17,25,49,48,122,3.7,Pass,0,Yes,No,87.54,4562.97,Yes,1.66
STD03469,Student_3469,Male,21,ME,3,73.37,21,26,68,115,3.3,Fail,2,Yes,Yes,83.97,2790.09,No,1.93
STD03470,Student_3470,Male,19,CE,5,95.76,11,26,62,99,3.0,Fail,2,No,No,61.04,5543.84,Yes,3.26
STD03471,Student_3471,Female,20,CE,6,84.52,26,40,56,122,3.7,Pass,0,No,Yes,42.89,6538.82,Yes,0.6
STD03472,Student_3472,Male,21,CSE,3,92.13,18,31,31,80,2.5,Fail,2,No,No,62.32,4276.03,No,4.41
STD03473,Student_3473,Female,18,BBA,8,100.0,14,33,62,109,3.3,Fail,2,No,No,56.62,6994.63,Yes,2.67
STD03474,Student_3474,Female,20,ME,4,97.31,26,29,36,91,3.0,Fail,1,No,Yes,52.18,6668.54,Yes,2.1
STD03475,Student_3475,Male,21,EEE,8,81.53,24,26,39,89,2.5,Fail,1,Yes,Yes,90.68,6515.11,Yes,1.14
STD03476,Student_3476,Male,17,CE,4,73.63,16,24,57,97,3.0,Fail,1,Yes,No,69.15,2923.12,Yes,4.59
STD03477,Student_3477,Male,24,CE,1,80.96,28,24,54,106,3.3,Fail,2,No,No,74.47,5262.63,Yes,0.5
STD03478,Student_3478,Male,21,Textile,2,86.57,15,38,60,113,3.3,Fail,2,No,No,34.44,7068.49,Yes,5.0
STD03479,Student_3479,Female,22,CE,1,67.22,13,44,42,99,3.0,Fail,2,No,No,88.13,5178.82,Yes,1.51
STD03480,Student_3480,Female,23,BBA,5,100.0,21,31,60,112,3.3,Fail,2,No,Yes,41.69,7941.74,Yes,0.5
STD03481,Student_3481,Female,19,EEE,2,86.21,28,28,58,114,3.3,Fail,2,Yes,No,56.12,5767.1,Yes,2.44
STD03482,Student_3482,Male,20,Textile,3,82.66,15,20,69,104,3.0,Fail,2,No,No,60.78,3838.18,Yes,3.82
STD03483,Student_3483,Male,19,CSE,3,65.68,23,39,38,100,3.0,Fail,2,No,No,74.01,2887.7,Yes,3.1
STD03484,Student_3484,Male,17,ME,5,85.13,25,30,60,115,3.3,Fail,2,No,Yes,83.54,9099.1,Yes,1.11
STD03485,Student_3485,Female,17,BBA,6,85.96,14,48,58,120,3.7,Fail,1,No,No,68.27,1192.33,Yes,2.61
STD03486,Student_3486,Male,22,EEE,4,76.61,14,30,33,77,2.5,Pass,0,No,Yes,73.15,2083.31,Yes,3.64
STD03487,Student_3487,Female,19,ME,6,87.98,26,38,46,110,3.3,Fail,1,No,No,14.49,7047.36,Yes,2.83
STD03488,Student_3488,Male,20,CSE,3,83.71,13,34,46,93,3.0,Pass,0,No,No,81.33,6010.51,No,0.98
STD03489,Student_3489,Female,17,ME,1,68.95,20,23,48,91,3.0,Fail,2,No,No,64.93,3673.77,Yes,4.22
STD03490,Student_3490,Female,24,Textile,4,91.83,15,37,32,84,2.5,Fail,2,No,No,57.32,8777.88,Yes,1.78
STD03491,Student_3491,Male,17,CE,3,100.0,21,41,62,124,3.7,Fail,2,No,Yes,65.88,4584.48,Yes,0.5
STD03492,Student_3492,Male,21,CE,4,100.0,20,41,66,127,3.7,Pass,0,No,No,63.33,4433.45,Yes,3.43
STD03493,Student_3493,Female,22,BBA,6,89.92,18,49,47,114,3.3,Fail,2,No,No,70.97,5669.02,Yes,6.98
STD03494,Student_3494,Female,23,ME,2,87.77,29,26,50,105,3.3,Fail,1,No,No,39.59,6192.92,No,2.61
STD03495,Student_3495,Male,18,CE,3,69.93,22,35,53,110,3.3,Pass,0,No,Yes,56.5,6149.93,Yes,3.55
STD03496,Student_3496,Male,23,BBA,3,87.52,24,48,45,117,3.3,Pass,0,No,No,39.95,4912.84,Yes,5.14
STD03497,Student_3497,Female,24,BBA,8,82.06,12,49,60,121,3.7,Fail,1,No,No,73.34,6170.85,No,1.88
STD03498,Student_3498,Male,23,Textile,4,59.61,14,25,32,71,2.0,Fail,1,No,No,70.81,1423.61,Yes,3.29
STD03499,Student_3499,Female,24,BBA,2,81.23,28,32,46,106,3.3,Fail,1,No,No,50.94,1000.0,Yes,2.13
STD03500,Student_3500,Female,17,CSE,1,79.25,24,43,62,129,3.7,Fail,1,Yes,Yes,27.71,5146.69,Yes,1.58
STD03501,Student_3501,Male,20,CE,8,69.55,16,39,36,91,3.0,Pass,0,No,No,20.69,3214.69,Yes,0.5
STD03502,Student_3502,Male,20,CE,2,83.99,12,33,69,114,3.3,Fail,1,No,No,69.61,4134.72,Yes,4.04
STD03503,Student_3503,Male,21,EEE,1,70.22,17,21,51,89,2.5,Fail,1,Yes,No,72.79,4405.98,Yes,0.71
STD03504,Student_3504,Male,24,CSE,7,89.05,22,29,36,87,2.5,Pass,0,No,No,51.59,4953.22,Yes,3.52
STD03505,Student_3505,Male,20,CE,7,90.58,25,35,62,122,3.7,Fail,1,No,Yes,45.75,7989.94,No,3.16
STD03506,Student_3506,Female,21,Textile,8,64.38,17,26,34,77,2.5,Fail,1,No,No,22.3,2988.63,Yes,0.5
STD03507,Student_3507,Female,17,CE,5,80.88,18,33,42,93,3.0,Fail,1,No,No,9.9,3885.83,Yes,4.83
STD03508,Student_3508,Male,17,EEE,6,80.32,11,20,59,90,3.0,Fail,1,No,Yes,86.69,4076.12,Yes,0.5
STD03509,Student_3509,Male,23,ME,8,82.64,29,20,39,88,2.5,Pass,0,No,Yes,52.77,1987.61,Yes,4.22
STD03510,Student_3510,Male,17,ME,2,60.46,10,49,43,102,3.0,Fail,2,No,Yes,69.35,4593.6,Yes,0.5
STD03511,Student_3511,Female,17,CSE,1,88.86,29,30,36,95,3.0,Fail,2,No,No,70.34,5622.89,Yes,2.82
STD03512,Student_3512,Male,24,BBA,4,100.0,22,33,60,115,3.3,Fail,2,No,No,42.01,6912.36,Yes,3.41
STD03513,Student_3513,Male,18,EEE,1,100.0,22,24,33,79,2.5,Fail,2,No,Yes,52.64,1000.0,Yes,2.64
STD03514,Student_3514,Female,22,EEE,5,94.1,20,24,33,77,2.5,Fail,2,No,Yes,87.99,1000.0,No,5.49
STD03515,Student_3515,Female,23,CE,1,64.86,19,40,43,102,3.0,Pass,0,Yes,No,48.87,4716.79,Yes,5.85
STD03516,Student_3516,Male,23,Textile,6,78.71,29,22,44,95,3.0,Pass,0,No,Yes,61.0,3475.55,Yes,4.18
STD03517,Student_3517,Male,22,CE,7,90.04,15,33,64,112,3.3,Pass,0,No,No,67.86,6705.4,No,5.01
STD03518,Student_3518,Male,18,Textile,8,89.61,25,35,63,123,3.7,Fail,1,No,Yes,80.99,4812.95,Yes,0.5
STD03519,Student_3519,Female,17,EEE,2,96.61,15,41,43,99,3.0,Fail,1,No,Yes,76.21,5526.34,No,1.56
STD03520,Student_3520,Male,20,BBA,1,82.38,29,37,42,108,3.3,Fail,2,No,No,37.05,2132.88,Yes,3.51
STD03521,Student_3521,Male,21,ME,2,72.8,22,29,53,104,3.0,Pass,0,No,No,73.53,4215.67,No,1.68
STD03522,Student_3522,Male,23,CSE,5,90.3,21,43,52,116,3.3,Fail,2,No,No,44.02,6672.17,Yes,0.5
STD03523,Student_3523,Female,22,Textile,1,80.24,17,43,45,105,3.3,Fail,1,No,No,47.46,5662.21,Yes,5.19
STD03524,Student_3524,Female,19,ME,1,98.95,12,24,64,100,3.0,Pass,0,No,No,39.1,1024.12,Yes,2.83
STD03525,Student_3525,Male,21,CSE,5,91.72,22,41,56,119,3.3,Fail,1,No,No,62.78,4361.52,Yes,0.5
STD03526,Student_3526,Male,19,BBA,6,81.31,10,21,63,94,3.0,Fail,1,Yes,Yes,55.3,10310.5,Yes,4.37
STD03527,Student_3527,Female,19,EEE,1,86.68,19,40,50,109,3.3,Fail,1,No,No,100.0,7241.69,Yes,2.91
STD03528,Student_3528,Female,24,BBA,2,96.16,24,43,37,104,3.0,Fail,2,No,No,89.67,2098.96,Yes,0.73
STD03529,Student_3529,Female,23,Textile,6,90.3,20,29,62,111,3.3,Pass,0,No,No,47.83,3378.48,Yes,3.17
STD03530,Student_3530,Female,17,EEE,3,86.38,25,33,57,115,3.3,Fail,1,No,No,36.96,4447.63,Yes,1.79
STD03531,Student_3531,Female,24,CE,6,87.52,12,33,56,101,3.0,Fail,1,No,No,53.22,4329.62,Yes,3.56
STD03532,Student_3532,Female,19,CSE,7,81.95,18,42,46,106,3.3,Fail,2,No,No,68.47,5880.06,Yes,2.69
STD03533,Student_3533,Female,17,CE,3,89.12,16,47,43,106,3.3,Pass,0,No,No,57.52,5311.21,Yes,2.8
STD03534,Student_3534,Female,18,EEE,7,85.23,25,34,59,118,3.3,Fail,1,Yes,Yes,72.5,5074.48,Yes,3.83
STD03535,Student_3535,Female,20,CSE,2,74.63,16,44,46,106,3.3,Fail,2,Yes,No,23.55,4810.4,Yes,1.02
STD03536,Student_3536,Male,19,CSE,7,89.28,17,31,67,115,3.3,Fail,2,No,No,86.77,1656.88,No,3.67
STD03537,Student_3537,Male,23,CE,8,90.51,29,28,32,89,2.5,Pass,0,No,No,100.0,6184.19,Yes,3.99
STD03538,Student_3538,Male,20,CSE,1,95.07,14,43,35,92,3.0,Fail,1,No,No,24.58,5469.86,Yes,1.22
STD03539,Student_3539,Female,17,EEE,2,69.15,15,21,54,90,3.0,Fail,1,No,Yes,72.43,4033.19,Yes,3.22
STD03540,Student_3540,Male,19,Textile,5,87.68,18,34,35,87,2.5,Fail,1,No,No,62.83,5173.13,Yes,3.97
STD03541,Student_3541,Female,21,Textile,2,81.12,14,39,65,118,3.3,Fail,2,Yes,No,69.9,1000.0,Yes,5.1
STD03542,Student_3542,Female,24,EEE,3,90.72,18,48,68,134,3.7,Pass,0,No,No,16.0,4710.02,No,2.31
STD03543,Student_3543,Male,23,CE,8,72.68,19,35,65,119,3.3,Fail,1,No,No,19.98,3058.65,Yes,2.5
STD03544,Student_3544,Female,18,BBA,7,97.96,15,39,32,86,2.5,Pass,0,Yes,No,59.59,6893.99,Yes,4.44
STD03545,Student_3545,Male,22,EEE,6,74.26,10,27,64,101,3.0,Fail,1,No,No,46.87,5350.99,Yes,4.29
STD03546,Student_3546,Male,18,Textile,7,79.95,22,37,48,107,3.3,Fail,1,Yes,No,48.04,2452.2,Yes,2.26
STD03547,Student_3547,Male,24,EEE,4,100.0,14,29,40,83,2.5,Pass,0,No,No,66.97,6303.64,Yes,1.97
STD03548,Student_3548,Female,19,CSE,5,85.93,28,28,44,100,3.0,Fail,1,Yes,No,84.4,2946.49,Yes,3.81
STD03549,Student_3549,Male,24,CSE,1,95.91,25,31,66,122,3.7,Pass,0,Yes,No,37.31,7406.59,Yes,3.38
STD03550,Student_3550,Female,23,EEE,7,87.48,24,37,61,122,3.7,Fail,2,No,Yes,60.8,7217.12,Yes,1.3
STD03551,Student_3551,Male,18,CE,6,97.68,23,39,60,122,3.7,Fail,1,No,No,44.08,3379.44,Yes,4.1
STD03552,Student_3552,Male,22,BBA,2,93.04,23,22,51,96,3.0,Fail,1,No,Yes,63.19,6212.53,Yes,0.5
STD03553,Student_3553,Male,21,CSE,5,77.02,13,29,36,78,2.5,Fail,2,No,No,54.6,3701.96,Yes,2.57
STD03554,Student_3554,Female,20,Textile,8,67.23,16,27,30,73,2.0,Fail,1,Yes,No,71.89,4919.46,Yes,5.1
STD03555,Student_3555,Female,24,CSE,3,72.24,24,20,61,105,3.3,Fail,2,No,No,30.44,7436.29,Yes,0.67
STD03556,Student_3556,Female,21,Textile,7,79.95,14,42,50,106,3.3,Fail,1,No,No,73.19,8246.28,Yes,4.35
STD03557,Student_3557,Male,18,BBA,1,90.65,10,26,63,99,3.0,Pass,0,No,No,43.44,4856.82,Yes,0.74
STD03558,Student_3558,Male,22,CSE,2,95.01,28,28,68,124,3.7,Fail,2,No,Yes,39.82,1000.0,Yes,3.03
STD03559,Student_3559,Female,20,CE,7,84.53,27,32,37,96,3.0,Pass,0,No,Yes,50.76,6327.88,Yes,4.89
STD03560,Student_3560,Female,23,Textile,6,86.66,23,45,56,124,3.7,Fail,1,No,No,86.04,8996.27,Yes,2.53
STD03561,Student_3561,Female,22,CSE,2,61.85,11,43,52,106,3.3,Fail,2,No,Yes,63.27,1000.0,Yes,4.53
STD03562,Student_3562,Female,21,CSE,1,82.16,13,41,45,99,3.0,Fail,1,No,No,63.11,3798.26,Yes,3.97
STD03563,Student_3563,Female,17,EEE,6,84.06,16,35,43,94,3.0,Fail,1,No,No,78.98,2778.07,Yes,2.78
STD03564,Student_3564,Female,17,CE,4,89.49,10,41,54,105,3.3,Pass,0,Yes,No,2.71,4461.34,Yes,3.46
STD03565,Student_3565,Male,20,CE,4,81.74,21,25,34,80,2.5,Fail,1,No,No,34.14,8390.76,Yes,2.59
STD03566,Student_3566,Female,24,EEE,5,79.99,10,40,32,82,2.5,Pass,0,No,No,56.72,5307.52,Yes,3.56
STD03567,Student_3567,Male,20,Textile,7,100.0,23,33,33,89,2.5,Fail,1,No,No,74.96,2649.33,Yes,0.5
STD03568,Student_3568,Male,20,ME,2,71.22,15,20,40,75,2.5,Fail,2,No,Yes,67.42,5476.63,Yes,3.07
STD03569,Student_3569,Female,17,BBA,8,98.67,10,21,37,68,2.0,Fail,2,No,No,66.07,2317.12,Yes,5.33
STD03570,Student_3570,Female,21,CE,5,91.24,11,46,62,119,3.3,Fail,1,Yes,Yes,62.69,3211.33,Yes,3.61
STD03571,Student_3571,Male,24,ME,1,83.74,26,31,51,108,3.3,Fail,2,Yes,Yes,97.0,3846.09,Yes,4.77
STD03572,Student_3572,Female,20,Textile,6,100.0,17,25,44,86,2.5,Fail,2,No,No,83.97,5340.83,Yes,2.39
STD03573,Student_3573,Female,17,BBA,5,84.36,27,21,41,89,2.5,Fail,2,No,No,61.76,8900.11,Yes,4.56
STD03574,Student_3574,Male,20,CE,7,76.43,26,24,53,103,3.0,Fail,2,No,No,66.77,2523.13,Yes,0.5
STD03575,Student_3575,Male,20,CSE,2,87.14,25,29,36,90,3.0,Pass,0,No,No,65.15,5766.73,Yes,4.48
STD03576,Student_3576,Male,24,CE,7,93.76,24,36,53,113,3.3,Pass,0,No,Yes,0.0,6405.18,Yes,1.48
STD03577,Student_3577,Female,24,BBA,8,90.53,24,36,43,103,3.0,Fail,2,No,Yes,40.61,6210.77,Yes,0.5
STD03578,Student_3578,Male,22,ME,4,79.6,21,25,42,88,2.5,Fail,2,Yes,Yes,57.0,5785.64,Yes,2.82
